카테고리,주소,상세,우편번호,latitude,longitutde,api_우편번호,표준화주소,지번주소,검증상태,검증일시
부분 개방형,서울특별시 중구 을지로 30,롯데백화점 측면부,,,,04533,서울특별시 중구 을지로 30,서울특별시 중구 소공동 1,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 을지로 35,KEB하나은행본점 측면부,,,,04534,서울특별시 중구 명동9길 35,서울특별시 중구 을지로2가 199-51,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 삼일대로 363,장교빌딩 전면부,,,,04541,서울특별시 중구 삼일대로 363,서울특별시 중구 장교동 1,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 장충단로 275,두산타워 전면부,,,,04563,서울특별시 중구 장충단로 275,서울특별시 중구 을지로6가 18-12,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 남대문로3가 23-3,한국은행 앞 광장 쉼터,,,,04526,서울특별시 중구 남대문로 23-3,서울특별시 중구 남대문로3가 110-4,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 한강대로 416,서울스퀘어 측면부,,,,04637,서울특별시 중구 한강대로 416,서울특별시 중구 남대문로5가 541,성공,2025-09-20 19:00
부분 개방형,서울특별시 중구 을지로2가 199-80,명동 하나플레이파크,,,,,,,실패,2025-09-20 19:00
부분 개방형,서울특별시 중구 봉래동1가 111-3,남대문로 쉼터,,,,,,,실패,2025-09-20 19:00
부분 개방형,서울특별시 중구 을지로 162-1,국도호텔 옆,,,,04548,서울특별시 중구 을지로 162-1,서울특별시 중구 을지로4가 310-5,성공,2025-09-20 19:00
완전 폐쇄형,서울특별시 용산구 한강대로30길 1,LS타워 옆,,,,04386,서울특별시 용산구 한강대로30길 1,서울특별시 용산구 한강로2가 424-5,성공,2025-09-20 19:00
부분 개방형,서울특별시 용산구 동자동 14-151,서울역 11번 출구 옆,,,,04323,서울특별시 용산구 한강대로 지하 392,서울특별시 용산구 동자동 14-151,성공,2025-09-20 19:00
부분 개방형,서울특별시 용산구 한강로3가 12-6,용산전자상가1 공영주차장 옆,,,,04376,서울특별시 용산구 한강대로39길 12-6,서울특별시 용산구 한강로2가 2-138,성공,2025-09-20 19:00
부분 개방형,서울특별시 용산구 한강로3가 17-1,선인상가 옆,,,,04353,서울특별시 용산구 한강대로 198-1,서울특별시 용산구 한강로1가 17-1,성공,2025-09-20 19:00
완전 폐쇄형,서울특별시 성동구 성수동1가 685-709,디타워 포레스터,,,,,,,실패,2025-09-20 19:00
완전 폐쇄형,서울특별시 성동구 왕십리로 58,서울숲 포휴,,,,04778,서울특별시 성동구 왕십리로 58,서울특별시 성동구 성수동1가 656-3,성공,2025-09-20 19:00
완전 폐쇄형,서울특별시 성동구 행당동 1-182,왕십리역 6번 출구,,,,,,,실패,2025-09-20 19:00
완전 폐쇄형,서울특별시 성동구 성수일로 77,서울숲 삼성IT밸리,,,,04790,서울특별시 성동구 성수일로 77,서울특별시 성동구 성수동1가 13-164,성공,2025-09-20 19:00
